log_size,precomp,c,msm_time(ms)
12.0,18.0,11.0,2.372
12.0,18.0,12.0,2.316
12.0,18.0,13.0,2.422
12.0,18.0,14.0,11.897
12.0,18.0,15.0,1.871
12.0,18.0,16.0,1.895
12.0,18.0,17.0,2.148
12.0,18.0,18.0,12.147
12.0,18.0,19.0,3.241
12.0,18.0,20.0,4.826
12.0,18.0,21.0,15.152
12.0,18.0,22.0,12.031
12.0,18.0,23.0,27.723
12.0,19.0,9.0,12.9
12.0,19.0,10.0,5.163
12.0,19.0,11.0,2.842
12.0,19.0,12.0,2.328
12.0,19.0,13.0,2.433
12.0,19.0,14.0,11.882
12.0,19.0,15.0,2.162
12.0,19.0,16.0,1.913
12.0,19.0,17.0,2.156
12.0,19.0,18.0,12.481
12.0,19.0,19.0,3.133
12.0,19.0,20.0,4.893
12.0,19.0,21.0,15.241
12.0,19.0,22.0,12.363
12.0,19.0,23.0,29.764
12.0,20.0,9.0,12.679
12.0,20.0,10.0,5.165
12.0,20.0,11.0,2.687
12.0,20.0,12.0,2.363
12.0,20.0,13.0,2.304
12.0,20.0,14.0,12.196
12.0,20.0,15.0,2.063
12.0,20.0,16.0,1.912
12.0,20.0,17.0,2.157
12.0,20.0,18.0,12.414
12.0,20.0,19.0,3.074
12.0,20.0,20.0,4.873
12.0,20.0,21.0,15.089
12.0,20.0,22.0,15.492
12.0,20.0,23.0,28.599
12.0,21.0,9.0,12.541
12.0,21.0,10.0,5.015
12.0,21.0,11.0,2.817
12.0,21.0,12.0,2.401
12.0,21.0,13.0,2.317
12.0,21.0,14.0,12.075
12.0,21.0,15.0,1.876
12.0,21.0,16.0,1.908
12.0,21.0,17.0,2.793
12.0,21.0,18.0,12.264
12.0,21.0,19.0,3.846
12.0,21.0,20.0,4.128
12.0,21.0,21.0,15.308
12.0,21.0,22.0,12.254
12.0,21.0,23.0,27.446
12.0,22.0,9.0,12.896
12.0,22.0,10.0,5.251
12.0,22.0,11.0,2.452
12.0,22.0,12.0,2.489
12.0,22.0,13.0,2.429
12.0,22.0,14.0,11.681
12.0,22.0,15.0,1.86
12.0,22.0,16.0,1.901
12.0,22.0,17.0,2.142
12.0,22.0,18.0,12.22
12.0,22.0,19.0,3.088
12.0,22.0,20.0,7.359
12.0,22.0,21.0,15.856
12.0,22.0,22.0,11.912
12.0,22.0,23.0,28.223
12.0,23.0,9.0,12.708
12.0,23.0,10.0,4.982
12.0,23.0,11.0,2.461
12.0,23.0,12.0,2.075
12.0,23.0,13.0,2.317
12.0,23.0,14.0,11.779
12.0,23.0,15.0,2.123
12.0,23.0,16.0,1.918
12.0,23.0,17.0,2.532
12.0,23.0,18.0,12.841
12.0,23.0,19.0,3.059
12.0,23.0,20.0,4.533
12.0,23.0,21.0,16.455
12.0,23.0,22.0,13.618
12.0,23.0,23.0,28.145
12.0,24.0,9.0,13.024
12.0,24.0,10.0,7.755
12.0,24.0,11.0,2.322
12.0,24.0,12.0,2.106
12.0,24.0,13.0,2.35
12.0,24.0,14.0,11.904
12.0,24.0,15.0,1.876
12.0,24.0,16.0,1.923
12.0,24.0,17.0,2.161
12.0,24.0,18.0,12.052
12.0,24.0,19.0,3.017
12.0,24.0,20.0,4.109
12.0,24.0,21.0,15.8
12.0,24.0,22.0,12.799
12.0,24.0,23.0,27.607
13.0,7.0,9.0,4.184
13.0,7.0,10.0,3.058
13.0,7.0,11.0,2.827
13.0,7.0,12.0,2.913
13.0,7.0,13.0,2.759
13.0,7.0,14.0,22.748
13.0,7.0,15.0,2.483
13.0,7.0,16.0,2.702
13.0,7.0,17.0,6.122
13.0,7.0,18.0,23.917
13.0,7.0,19.0,5.158
13.0,7.0,20.0,11.071
13.0,7.0,21.0,30.231
13.0,7.0,22.0,28.05
13.0,7.0,23.0,58.701
13.0,8.0,9.0,3.999
13.0,8.0,10.0,2.92
13.0,8.0,11.0,2.721
13.0,8.0,12.0,2.865
13.0,8.0,13.0,2.869
13.0,8.0,14.0,22.292
13.0,8.0,15.0,2.478
13.0,8.0,16.0,2.369
13.0,8.0,17.0,2.867
13.0,8.0,18.0,22.65
13.0,8.0,19.0,5.159
13.0,8.0,20.0,13.585
13.0,8.0,21.0,29.428
13.0,8.0,22.0,25.013
